date,day_of_week,month,is_weekday,file_count_AM_actual,file_count_PM_actual,total_records_AM_actual,total_records_PM_actual,file_count_AM_predicted,file_count_PM_predicted,total_records_AM_predicted,total_records_PM_predicted
2020-07-10,4,7,1,1.0,1.0,278978.0,229897.0,1.0434754066955694,1.0,675789.1776757389,518685.03559126763
2020-07-11,5,7,0,1.0,1.0,65097.0,873126.0,1.0,1.0,455870.05375617027,847096.0498960025
2020-07-13,0,7,1,1.0,2.0,2288711.0,3664553.0,2.941908614877398,2.697862356657223,6504982.561135402,5372096.345546983
2020-07-14,1,7,1,1.0,6.0,2610038.0,13712943.0,3.4709806589439136,6.277942543861238,7463354.195156625,13696894.118709812
2020-07-15,2,7,1,4.0,1.0,7153051.0,427380.0,1.9759603448546832,1.2201819405056502,3144504.1156112165,1026201.7014472245
2020-07-16,3,7,1,1.0,1.0,1426.0,59648.0,1.7460396535499783,1.4030840886918243,2394632.1249220995,1216808.2233284495
2020-07-17,4,7,1,1.0,1.0,181472.0,363257.0,1.0434754066955694,1.0,675789.1776757389,518685.03559126763
2020-07-18,5,7,0,1.0,1.0,2107918.0,873126.0,1.0,1.0,455870.05375617027,847096.0498960025
2020-07-20,0,7,1,2.0,6.0,5005121.0,12497755.0,2.941908614877398,2.697862356657223,6504982.561135402,5372096.345546983
2020-07-21,1,7,1,2.0,5.0,5531676.0,11123115.0,3.4709806589439136,6.277942543861238,7463354.195156625,13696894.118709812
2020-07-22,2,7,1,3.0,1.0,6433792.0,45769.0,1.9759603448546832,1.2201819405056502,3144504.1156112165,1026201.7014472245
2020-07-23,3,7,1,1.0,1.0,479976.0,14634.0,1.7460396535499783,1.4030840886918243,2394632.1249220995,1216808.2233284495
2020-07-24,4,7,1,1.0,1.0,373203.0,74857.0,1.0434754066955694,1.0,675789.1776757389,518685.03559126763
2020-07-25,5,7,0,1.0,1.0,515287.0,873126.0,1.0,1.0,455870.05375617027,847096.0498960025
2020-07-27,0,7,1,3.0,1.0,5440665.0,1541024.0,2.941908614877398,2.697862356657223,6504982.561135402,5372096.345546983
2020-07-28,1,7,1,1.0,6.0,2101661.0,13543582.0,3.4709806589439136,6.277942543861238,7463354.195156625,13696894.118709812
2020-07-29,2,7,1,4.0,1.0,8419983.0,490444.0,1.9759603448546832,1.2201819405056502,3144504.1156112165,1026201.7014472245
2020-07-30,3,7,1,1.0,1.0,16456.0,65015.0,1.7460396535499783,1.4030840886918243,2394632.1249220995,1216808.2233284495
2020-07-31,4,7,1,1.0,1.0,193188.0,143321.0,1.0434754066955694,1.0,675789.1776757389,518685.03559126763
2020-08-01,5,8,0,1.0,1.0,45345.0,873126.0,1.1971463181123578,1.0,809786.5005901529,873126.0
